t,phi1,phi2,phi3,phi4,phi5,phi6,w1,w2,w3,v1,v2,v3,vd_w1,vd_w2,vd_w3,vd_v1,vd_v2,vd_v3,upri1,upri2,upri3,upri4,upri5,upri6,upri7,ufin1,ufin2,ufin3,ufin4,ufin5,ufin6,ufin7
3.411748,-0.010288,-0.065757,-0.005441,0.081604,-0.027666,-0.104609,0.380862,2.239379,0.205635,0.780599,-0.130868,-0.402672,0.000000,0.000000,0.000000,-0.010509,0.150430,0.020000,9.191300,47.529111,7.086783,87.000000,2.374356,5.251394,-0.010854,9.191300,47.529111,7.086783,87.000000,2.374356,5.251394,-0.011854
3.500169,-0.010676,-0.067939,-0.005639,0.080988,-0.028337,-0.104093,0.388781,2.181797,0.184441,0.788114,-0.143507,-0.422873,0.000000,0.000000,0.000000,-0.010792,0.150410,0.020000,8.865249,45.310312,6.808212,87.000000,2.304306,5.302470,0.014551,8.865249,45.310312,6.808212,87.000000,2.303306,5.302470,0.013551
3.582275,-0.011052,-0.070055,-0.005845,0.080356,-0.029006,-0.103570,0.376054,2.115395,0.196273,0.793246,-0.143006,-0.436514,0.000000,0.000000,0.000000,-0.011076,0.150389,0.020000,9.274169,42.997383,7.292415,87.000000,2.447399,5.383769,-0.011033,9.274169,42.997383,7.292415,87.000000,2.447399,5.383769,-0.012033
3.663900,-0.011433,-0.072105,-0.006024,0.079709,-0.029660,-0.103032,0.382841,2.049753,0.173729,0.800249,-0.155758,-0.457314,0.000000,0.000000,0.000000,-0.011359,0.150368,0.020000,8.888455,40.713462,6.951249,87.000000,2.398546,5.345472,0.021432,8.888455,40.713462,6.951249,87.000000,2.398546,5.345472,0.020432
3.744512,-0.011802,-0.074079,-0.006214,0.079047,-0.030313,-0.102487,0.368724,1.974069,0.185256,0.804106,-0.155196,-0.471932,0.000000,0.000000,0.000000,-0.011642,0.150346,0.020000,9.283347,38.474658,7.408502,87.000000,2.529235,5.536955,-0.009030,9.283347,38.474658,7.408502,87.000000,2.528235,5.536955,-0.010030
3.826145,-0.012176,-0.075987,-0.006379,0.078372,-0.030951,-0.101925,0.375235,1.907933,0.162334,0.809657,-0.168010,-0.494976,0.000000,0.000000,0.000000,-0.011926,0.150324,0.020000,8.853503,36.417011,7.023702,87.000000,2.451366,5.671670,0.014898,8.853503,36.417011,7.023702,87.000000,2.450366,5.671670,0.013898
3.916690,-0.012537,-0.077828,-0.006555,0.077683,-0.031588,-0.101352,0.360801,1.840342,0.172987,0.812896,-0.167677,-0.512585,0.000000,0.000000,0.000000,-0.012209,0.150301,0.020000,9.209005,34.433989,7.442095,87.000000,2.587285,5.832420,-0.012533,9.209005,34.433989,7.442095,87.000000,2.586285,5.832420,-0.013533
3.997506,-0.012904,-0.079609,-0.006709,0.076981,-0.032212,-0.100759,0.367711,1.780460,0.151079,0.818571,-0.180162,-0.537783,0.000000,0.000000,0.000000,-0.012492,0.150278,0.020000,8.777529,32.512651,7.063751,87.000000,2.515890,5.937783,0.011434,8.777529,32.512651,7.063751,87.000000,2.514890,5.937783,0.010434
4.088253,-0.013258,-0.081326,-0.006871,0.076265,-0.032834,-0.100154,0.354056,1.716330,0.159264,0.822568,-0.180813,-0.556579,0.000000,0.000000,0.000000,-0.012776,0.150254,0.020000,9.036115,30.534728,7.388362,87.000000,2.640384,6.074606,-0.011031,9.036115,30.534728,7.388362,87.000000,2.639384,6.074606,-0.012031
4.178130,-0.013618,-0.082983,-0.007014,0.075535,-0.033443,-0.099529,0.361174,1.656898,0.140062,0.829294,-0.192555,-0.581933,0.000000,0.000000,0.000000,-0.013059,0.150230,0.020000,8.638599,28.508485,7.058840,85.507253,2.524179,5.968289,0.010076,8.638599,28.508485,7.058840,85.507253,2.523179,5.968289,0.009076
4.257541,-0.014066,-0.084868,-0.007181,0.074781,-0.034020,-0.098893,0.449425,1.883773,0.163429,0.872603,-0.236402,-0.572897,0.000000,0.000000,0.000000,-0.013342,0.150205,0.020000,-2.581337,27.090897,-4.391979,86.412463,2.023855,4.487975,0.035366,-2.582337,27.090897,-4.391979,86.412463,2.022855,4.487975,0.034366
